property_id,location,size_sqft,bedrooms,bathrooms,floor,total_floors,age_of_property,furnishing,parking,near_metro,amenities_score,price
P001,Andheri West,850,2,2,5,12,8,Semi-Furnished,Yes,Yes,7,18500000
P002,Bandra East,1200,3,2,7,15,5,Furnished,Yes,Yes,9,32000000
P003,Goregaon West,650,1,1,3,10,12,Unfurnished,No,No,5,9500000
P004,Thane West,900,2,2,10,20,6,Semi-Furnished,Yes,Yes,8,17500000
P005,Powai,1100,3,2,12,22,4,Furnished,Yes,Yes,9,30000000
P006,Malad East,780,2,2,6,14,9,Semi-Furnished,Yes,No,7,16000000
P007,Navi Mumbai,950,2,2,8,18,7,Unfurnished,Yes,Yes,6,14000000
P008,Lower Parel,1400,3,3,20,30,3,Furnished,Yes,Yes,10,55000000
P009,Kandivali West,700,2,1,4,12,15,Unfurnished,No,No,5,12000000
P010,Chembur,1000,2,2,9,16,10,Semi-Furnished,Yes,Yes,8,21000000
P011,Dadar West,1300,3,2,11,20,20,Furnished,Yes,Yes,9,45000000
P012,Borivali East,600,1,1,2,8,18,Unfurnished,No,No,4,9000000
P013,Vashi,1050,2,2,7,14,6,Semi-Furnished,Yes,Yes,7,17500000
P014,Colaba,1600,3,3,5,10,25,Furnished,Yes,Yes,10,70000000
P015,Mulund West,850,2,2,6,12,11,Semi-Furnished,Yes,No,6,16500000
P016,Andheri East,920,2,2,8,18,9,Semi-Furnished,Yes,Yes,7,20000000
P017,Virar West,550,1,1,3,7,14,Unfurnished,No,No,3,6000000
P018,Panvel,750,2,1,5,10,8,Unfurnished,Yes,No,5,9500000
P019,Khar West,1350,3,3,10,18,6,Furnished,Yes,Yes,9,48000000
P020,Santacruz East,980,2,2,6,14,7,Semi-Furnished,Yes,Yes,8,24000000
P021,Worli,1500,3,3,25,35,2,Furnished,Yes,Yes,10,65000000
P022,Bhandup West,800,2,2,7,15,13,Semi-Furnished,Yes,No,6,15000000
P023,Seawoods,1100,3,2,9,20,5,Furnished,Yes,Yes,8,22000000
P024,Airoli,900,2,2,8,16,6,Semi-Furnished,Yes,Yes,7,17000000
P025,Matunga,1250,3,2,4,10,22,Furnished,Yes,Yes,9,42000000
P026,Ulwe,700,2,1,5,12,4,Unfurnished,Yes,No,5,8500000
P027,Ghatkopar East,950,2,2,6,15,10,Semi-Furnished,Yes,Yes,8,21000000
P028,Mira Road,650,1,1,3,9,12,Unfurnished,No,No,4,8000000
P029,Prabhadevi,1450,3,3,18,28,5,Furnished,Yes,Yes,10,58000000
P030,Kurla West,850,2,2,7,14,9,Semi-Furnished,Yes,Yes,7,18000000
